职能,公司名称,地址,薪资,发布日期
Python开发工程师,深圳市神州动力数码有限公司,深圳-南山区  |  2年经验  |  招2人,0.8-1.2万/月,03-09发布
Python软件工程师 02,深圳市乐思软件技术有限公司,深圳  |  1年经验  |  本科  |  招2人,0.9-1.1万/月,03-09发布
python爬虫工程师,深圳市聚能优电科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1-2万/月,03-09发布
python后端开发工程师,北京创新在线网络技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招3人,0.9-1.8万/月,03-09发布
Python开发工程师,韩端科技（深圳）有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
Python开发工程师,智臻寰宇高科技（深圳）有限公司,深圳-宝安区  |  1年经验  |  大专  |  招1人,6-8千/月,03-09发布
python,深圳兴融联科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招5人,1-1.5万/月,03-09发布
Python工程师,深圳市易佰网络科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招2人,1-1.5万/月,03-09发布
Python开发工程师,深圳市易博天下科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招若干人,1.3-2.5万/月,03-09发布
python开发工程师,深圳市紫金支点技术股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.9-1.2万/月,03-09发布
Python爬虫工程师,深圳市捷晶能源科技有限公司,深圳  |  2年经验  |  大专  |  招1人,7-8.5千/月,03-09发布
Python开发工程师,首影科技（深圳）有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,0.8-1.6万/月,03-09发布
软件开发工程师（Python),德硕管理咨询（深圳）有限公司,深圳-福田区  |  2年经验  |  大专  |  招若干人,0.8-1.5万/月,03-09发布
Python开发工程师,深圳市科高新材料有限公司,深圳-南山区  |  2年经验  |  本科  |  招5人,1-2万/月,03-09发布
Python开发工程师,深圳市神机量化技术有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,1.5-3万/月,03-09发布
Python开发工程师,上海讯真信息科技有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-09发布
python工程师,深圳市瓦力自动化有限公司,深圳-宝安区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
研发工程师（C++/Python）,南凌科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.5-2.5万/月,03-09发布
Python开发工程师,成都迈思信息技术有限公司,深圳  |  1年经验  |  本科  |  招若干人,1-1.5万/月,03-09发布
Python开发工程师,深圳市掌世界网络科技有限公司,深圳-罗湖区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-09发布
python开发工程师,百丽新零售,深圳-南山区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-09发布
python后端开发/双休/大平台/技术大牛,深圳十方融海科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招4人,1-1.8万/月,03-09发布
Python开发工程师,云智汇（深圳）高新科技服务有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,0.9-1.1万/月,03-09发布
Python开发工程师,四川准达信息技术股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招45人,0.9-1万/月,03-09发布
Python开发工程师,深圳市鼎驰科技发展有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,0.9-1.2万/月,03-09发布
初级Python开发工程师,埃克斯工业（广东）有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.8-1.5万/月,03-09发布
Python开发工程师,深圳市道合顺电子科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.5-3万/月,03-09发布
Python开发工程师,深圳市广联智通科技有限公司,深圳  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
python工程师,深圳市猎芯科技有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招1人,1-2万/月,03-09发布
Python爬虫工程师,深圳市远古科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招1人,1-2万/月,03-09发布
Python数据开发,南京争锋信息科技有限公司,深圳-福田区  |  1年经验  |  大专  |  招若干人,1-2万/月,03-09发布
Python开发工程师,深圳市博悦科创科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.1-1.6万/月,03-09发布
Python工程师,深圳市维度数据科技股份有限公司,深圳-罗湖区  |  2年经验  |  本科  |  招1人,0.8-1.5万/月,03-09发布
python QT程序开发工程师,深圳市泰达机器人有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.2万/月,03-09发布
Python开发工程师,深圳市微特精密科技股份有限公司,深圳-宝安区  |  1年经验  |  大专  |  招2人,1-2万/月,03-09发布
Python高级开发工程师,深圳湛正实业有限公司,深圳-罗湖区  |  2年经验  |  招5人,1-1.5万/月,03-09发布
Python开发工程师/前端/爬虫,深圳市群智欣信息科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招3人,4.5-6千/月,03-09发布
软件开发工程师(Python后端),深圳君同云科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.6-1.5万/月,03-09发布
Python开发工程师,深圳华会科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招2人,0.8-1.5万/月,03-09发布
Python高级开发工程师,深圳市汇泉教育科技有限责任公司,深圳-南山区  |  2年经验  |  本科  |  招5人,0.8-1.2万/月,03-09发布
Python后端开发工程师,牛剑教育科技（深圳）有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,1.2-2万/月,03-08发布
PYTHON（自测方向）,上海子蓝信息科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招3人,1-1.5万/月,03-08发布
python开发工程师,深圳市丽海弘金科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.2-2万/月,03-08发布
Python开发工程师,上海金盏企业管理有限公司深圳分公司,深圳-南山区  |  1年经验  |  本科  |  招5人,1-1.5万/月,03-08发布
Python开发工程师（RPA方向）,百思特管理咨询有限公司,深圳-南山区  |  1年经验  |  本科  |  招10人,0.7-2万/月,03-08发布
Python开发工程师,优车库网络科技发展（深圳）有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,0.8-1.5万/月,03-08发布
Python初级开发工程师,深圳市易达恒通供应链管理有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,6-8千/月,03-08发布
Python后台开发工程师,深圳萨摩耶数字科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-08发布
Python后台开发工程师,深圳市智影医疗科技有限公司,深圳  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,03-08发布
软件开发工程师(Python/QT),深圳市信润富联数字科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.2-2.3万/月,03-08发布
Python 爬虫开发工程师,深圳市迈维智视科技有限公司,深圳  |  2年经验  |  本科  |  招1人,1.2-2万/月,03-08发布
软件开发工程师Python（深圳）,杭州宏杉科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.2-2万/月,03-08发布
python/PHP开发工程师,深圳瑞德林生物技术有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.8万/月,03-07发布
Python开发工程师,深圳市三一九科技有限公司,深圳-龙华区  |  1年经验  |  大专  |  招若干人,0.8-1.5万/月,03-06发布
python爬虫工程师（双休+奖金）,辰星网络科技,深圳  |  1年经验  |  大专  |  招6人,4-8千/月,03-06发布
Python开发工程师,达观数据,深圳  |  1年经验  |  本科  |  招若干人,1.2-2.4万/月,03-06发布
Python开发工程师,上海佳锐信息科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-05发布
中级Python开发工程师,深圳市海云天科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1-1.5万/月,03-05发布
Python工程师,深圳市柠檬树科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招1人,1.2-1.5万/月,03-05发布
Python开发工程师,深圳兆日科技股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.1-2万/月,03-04发布
Python数据工程师,深圳虾皮信息科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.9-1.8万/月,03-04发布
Python 爬虫工程师,21世纪报系,异地招聘  |  2年经验  |  本科  |  招1人,1-2万/月,03-04发布
Python开发工程师,深圳小火花软件科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,0.7-1.4万/月,03-04发布
软件工程师(Python),深圳微品致远信息科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.5-2.5万/月,03-03发布
Python开发工程师,智高点知识产权集团有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1万/月,03-02发布
python爬虫,深圳市百能信息技术有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-02发布
Python后端工程师,深圳鼎然信息科技有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,1-2万/月,03-02发布
高级Python工程师,深圳市赛纳电子科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招2人,1-1.8万/月,03-01发布
Python开发工程师,深圳小安时代互联网金融服务有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-01发布
Python 数据开发工程师,Amber AI Limited,深圳-南山区  |  1年经验  |  本科  |  招1人,1-1.5万/月,02-27发布
python工程师 8-12K,深圳市前海润杨金融服务有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.2万/月,02-25发布
Python开发工程师,深圳市恒程科技创新服务有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1.2万/月,02-23发布
Java/Python 开发工程师,深圳市华仁智赢科技有限公司,深圳-宝安区  |  2年经验  |  大专  |  招1人,1-2万/月,02-23发布
python中高级工程师,深圳市华威斯科技有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,1-2万/月,02-23发布
Python中级开发工程师,广东钳钳科技有限公司,异地招聘  |  2年经验  |  大专  |  招2人,1-1.5万/月,02-23发布
Python开发工程师,业成光电（深圳）有限公司,深圳  |  1年经验  |  本科  |  招1人,4-8千/月,02-22发布
Python开发工程师,天津易商数科科技股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1-1.5万/月,02-22发布
python 数据库后端工程师,东莞先知大数据有限公司,异地招聘  |  2年经验  |  本科  |  招2人,0.8-1.5万/月,02-22发布
Python开发工程师,深圳市杉岩数据技术有限公司,深圳  |  1年经验  |  本科  |  招若干人,1.2-1.8万/月,02-18发布
Python/go软件开发,上海兆殷特科技有限公司,深圳  |  1年经验  |  本科  |  招2人,1.5-3万/月,02-18发布
Java/python爬虫工程师,深圳中电国际信息科技有限公司,异地招聘  |  2年经验  |  大专  |  招2人,1-1.5万/月,02-08发布
Python开发工程师,深圳市中润统计咨询有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,0.7-1.5万/月,02-05发布
Python开发工程师,深圳市安之天信息技术有限公司,深圳-宝安区  |  2年经验  |  本科  |  招若干人,1-1.8万/月,02-03发布
Python开发工程师,广州嘉为科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,01-13发布
高级磁记录研发工程师,西部数据,深圳-南山区  |  1年经验  |  硕士  |  招1人,1.5-2万/月,03-09发布
php工程师,深圳市云盾信息安全开发有限公司,深圳-龙华区  |  1年经验  |  大专  |  招1人,0.6-1.5万/月,03-09发布
嵌入式工程师（机器人方向）,中国科学院深圳先进技术研究院,深圳-南山区  |  1年经验  |  硕士  |  招3人,1-1.5万/月,03-09发布
PHP开发工程师,深圳市天视通电子科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.6-1.2万/月,03-09发布
网络、硬件、后端、Linux、FPGA、区块链研发工程师,深圳市云鼎天科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招6人,1.5-3万/月,03-09发布
大数据开发工程师,西安立人行档案文件管理咨询有限公司,深圳-福田区  |  2年经验  |  本科  |  招3人,1-2万/月,03-09发布
后端开发工程师(J16666),深圳华大生命科学研究院,深圳-大鹏新区  |  2年经验  |  本科  |  招1人,1.3-2万/月,03-09发布
C++/C#/JavaScript 软件开发工程师,深圳市宏图空间科技有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,0.8-1万/月,03-09发布
Linux软件工程师,深圳市驰晶科技有限公司,深圳  |  1年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
电子工程师,深圳市科易互动机器人有限公司,深圳-龙华区  |  1年经验  |  大专  |  招1人,6-8千/月,03-09发布
软件测试开发工程师,成都巴迪巴迪网络科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招若干人,7-9千/月,03-09发布
软件工程师,深圳了然视觉科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招3人,1-2万/月,03-09发布
100强通讯公司#大数据工程师#,万宝盛华企业管理咨询（上海）有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.2-2万/月,03-09发布
后台开发工程师-搜索方向,字节跳动,深圳  |  2年经验  |  本科  |  招3人,2-4万/月,03-09发布
Java开发工程师,联想中国PC及服务器工厂,深圳-福田区  |  1年经验  |  本科  |  招1人,6-9千/月,03-08发布
微信支付资金业务后台开发工程师,深圳市腾讯计算机系统有限公司,深圳  |  2年经验  |  本科  |  招1人,2-2.5万/月,03-08发布
RPA Engineer,毕马威中国 KPMG China,异地招聘  |  2年经验  |  本科  |  招若干人,0.8-2万/月,02-05发布
C++软件工程师,中联重科股份有限公司,异地招聘  |  1年经验  |  本科  |  招2人,0.9-1.3万/月,03-09发布
122646高级嵌入式工程师-高性能计算（编译器）,深圳市大疆创新科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,3-5万/月,03-06发布
Java开发工程师,TCL集团工业研究院,深圳  |  1年经验  |  本科  |  招1人,2-2.5万/月,03-05发布
大数据开发（五险一金+大平台）,中软国际科技服务有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.5-2万/月,03-03发布
C++开发工程师,谷游科技（深圳）有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.8-2.8万/月,02-20发布
C++开发工程师(J14343),深圳华大基因科技有限公司,深圳-盐田区  |  1年经验  |  本科  |  招1人,1-1.5万/月,02-08发布
软件工程师（大数据）,南方电网深圳数字电网研究院有限公司,异地招聘  |  2年经验  |  本科  |  招4人,1.5-2.5万/月,01-18发布
配置管理工程师,武汉佰钧成技术有限责任公司,深圳-南山区  |  1年经验  |  大专  |  招5人,1-1.8万/月,03-05发布
C++开发工程师,深圳市今古科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.2-2万/月,03-09发布
SLAM算法工程师,深圳科卫机器人科技有限公司,深圳-光明新区  |  2年经验  |  本科  |  招2人,2-3.5万/月,03-09发布
Golang开发(驻腾讯）,深圳市智慧盾科技有限公司,深圳-南山区  |  2年经验  |  招3人,1-1.5万/月,03-09发布
软件开发工程师（长期日本出差）,赛伯尔（大连）信息技术咨询有限公司,异地招聘  |  2年经验  |  大专  |  招3人,1.5-4万/月,03-09发布
软件开发工程师,深圳市喜宏欣科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招2人,5-9千/月,03-09发布
脚本开发工程师（深圳-南山区）,杭州友声科技股份有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1.2万/月,03-09发布
系统工程师（业务运营方向,深圳市远邦进出口有限公司,深圳-福田区  |  1年经验  |  本科  |  招2人,0.8-1.2万/月,03-09发布
软件工程师,中科创达软件股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1.2-2万/月,03-09发布
软件开发工程师,深圳市瀚翔生物医疗电子股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.3万/月,03-09发布
SLAM算法工程师,深圳玩智商科技有限公司,深圳-龙岗区  |  1年经验  |  硕士  |  招2人,0.8-1.5万/月,03-09发布
软件工程师（固件工程师）,深圳市橙视科技发展有限公司,深圳-宝安区  |  1年经验  |  大专  |  招2人,0.6-1.3万/月,03-09发布
Go研发工程师,小雨伞保险经纪有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1-2万/月,03-09发布
Golang开发工程师,深圳市优诚信息技术有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招若干人,1.5-4万/月,03-09发布
全栈工程师,伯恩光学（惠州）有限公司,异地招聘  |  2年经验  |  本科  |  招2人,2-3.5万/月,03-09发布
机器人软件工程师,深圳市大族机器人有限公司,深圳-南山区  |  1年经验  |  本科  |  招5人,1.5-2万/月,03-09发布
嵌入式linux软件工程师,深圳市微智体技术有限公司,深圳-龙华区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
云服务软件工程师,东莞市三基音响科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,1-1.8万/月,03-09发布
软件工程师（c++）,深圳市普渡科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.5-3万/月,03-09发布
Java开发工程师,森科云创科技（深圳）有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1-2万/月,03-09发布
软件工程师,佛山博文机器人自动化科技有限公司,异地招聘  |  2年经验  |  本科  |  招若干人,1.5-2.5万/月,03-09发布
嵌入式软件工程师,深圳素士科技股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,0.8-1.6万/月,03-09发布
嵌入式软件工程师,深圳市蓝德欧机电有限公司,深圳-龙华区  |  1年经验  |  大专  |  招1人,0.6-1万/月,03-09发布
软件工程师,深圳赛动生物自动化有限公司,深圳-南山区  |  2年经验  |  硕士  |  招若干人,25-35万/年,03-09发布
软件工程师,河北苏格医疗科技有限公司,异地招聘  |  2年经验  |  大专  |  招1人,0.6-1.5万/月,03-09发布
云安全后台开发工程师（WAF）,优刻得科技股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,1-4万/月,03-09发布
C/C++软件开发工程师,深圳市泰沃德技术有限公司,深圳-宝安区  |  1年经验  |  本科  |  招1人,1-2万/月,03-09发布
软件工程师,桂林市思奇通信设备有限公司,异地招聘  |  1年经验  |  中专  |  招2人,1-1.5万/月,03-09发布
嵌入式软件开发工程师,深圳市中芯同创科技有限公司,深圳-宝安区  |  1年经验  |  本科  |  招1人,0.8-1.8万/月,03-09发布
后端开发工程师,深圳市摩尔环宇通信技术有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,0.8-1.5万/月,03-09发布
大数据开发工程师,深圳市达博威科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招5人,1.2-2万/月,03-09发布
Java后端开发工程师,深圳东金首创投资管理有限公司,深圳-宝安区  |  1年经验  |  本科  |  招2人,0.7-1.2万/月,03-09发布
RPA工程师,深圳盛金源科技股份有限公司,深圳-南山区  |  1年经验  |  大专  |  招3人,0.6-1万/月,03-09发布
嵌入式软件工程师,深圳市明栈信息科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-09发布
大数据开发工程师（深圳）,海南中智信信息技术有限公司,深圳-罗湖区  |  2年经验  |  本科  |  招3人,12-19万/年,03-09发布
Magento工程师,雅耶国际贸易（上海）有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招若干人,1-2.5万/月,03-09发布
嵌入式开发工程师,深圳松诺技术有限公司,深圳-南山区  |  1年经验  |  大专  |  招1人,0.7-1万/月,03-09发布
大数据工程师,深圳市永联科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
自动驾驶/C++车辆控制工程师,深圳一清创新科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,0.8-1.5万/月,03-09发布
大数据技术开发工程师,"香港时代国际控股集团有限公司 TIMES INTERNATIONAL GROUP （HK） CO., LIMITED",异地招聘  |  2年经验  |  本科  |  招若干人,0.8-1万/月,03-09发布
web全栈开发工程师,深圳市乐易网络股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-2万/月,03-09发布
软件助理工程师,奥蒂玛光学科技（深圳）有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招1人,0.6-1.5万/月,03-09发布
爬虫开发工程师,深圳市财盈通科技有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招6人,1-1.5万/月,03-09发布
平台软件工程师,深圳市奥肯特科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.8-2.8万/月,03-09发布
配置管理工程师,深圳瑞为智能科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.7-1.2万/月,03-09发布
地理信息工程师,北京腾信软创科技股份有限公司,异地招聘  |  2年经验  |  本科  |  招4人,1.2-1.7万/月,03-09发布
QT软件工程师,深圳市必趣科技有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招若干人,0.8-2万/月,03-09发布
软件工程师,深圳市正源分子生物科技有限公司,异地招聘  |  1年经验  |  大专  |  招2人,4-8千/月,03-09发布
ERP软件开发工程师,环迅通科技（北京）有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,1-2万/月,03-09发布
C++开发工程师,深圳市沃信科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
C++开发工程师,深圳市网安计算机安全检测技术有限公司,深圳  |  1年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
.NET开发工程师,美国K2软件（中国）,深圳-福田区  |  2年经验  |  大专  |  招1人,1-1.6万/月,03-09发布
爬虫开发工程师,换换集团,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1.3万/月,03-09发布
嵌入式软件工程师,深圳市天安至远传感科技有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
区块链工程师/股票期权,锦城资本管理（深圳）有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,2.5-3.5万/月,03-09发布
软件开发工程师,慧灵科技（深圳）有限公司,深圳-宝安区  |  1年经验  |  大专  |  招若干人,1.5-3万/月,03-09发布
后台开发工程师,深圳市航通智能技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
嵌入式软件工程师,深圳艾德普特科技有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招2人,0.6-1万/月,03-09发布
Visual slam算法工程师,爱乐福（深圳）科技有限公司,深圳-龙岗区  |  2年经验  |  硕士  |  招3人,1.5-3万/月,03-09发布
视觉SLAM算法工程师,深圳博鹏智能科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招3人,1.5-3万/月,03-09发布
视频识别算法岗8k起包住,深圳抖屏科技有限公司,深圳-宝安区  |  1年经验  |  大专  |  招2人,0.8-1万/月,03-09发布
高级软件工程师,深圳千通科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.5-2万/月,03-09发布
软件工程师,深圳蓝斯尔贸易有限公司,深圳-龙华区  |  1年经验  |  本科  |  招1人,1-3万/月,03-09发布
图形开发工程师,深圳市捷泰技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
软件工程师,深圳旺凌科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.2-2.5万/月,03-09发布
软件开发工程师（PMLS）,深圳迈瑞动物医疗科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1-2万/月,03-09发布
(急聘)数据开发工程师-深圳,中信网络科技股份有限公司,深圳  |  2年经验  |  本科  |  招5人,1-1.6万/月,03-09发布
C++开发工程师,深圳市祺丰智能机器人科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
Golang 开发工程师,深圳市龙域通信科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-09发布
SLAM算法工程师,深圳市异方科技有限公司,异地招聘  |  1年经验  |  本科  |  招2人,1.5-2万/月,03-09发布
C++,深圳市纵横通信息技术有限公司,深圳  |  1年经验  |  本科  |  招2人,0.8-1.2万/月,03-09发布
软件工程师（控制系统）,深圳万讯自控股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.2-2万/月,03-09发布
软件开发工程师,深圳市华净科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,0.7-1万/月,03-09发布
ERP工程师,深圳半岛医疗有限公司,深圳-宝安区  |  1年经验  |  大专  |  招1人,0.8-1.3万/月,03-09发布
业务问题处理岗/Linux系统工程师,深圳市联畅信息技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
自动化软件工程师,深圳科瑞技术股份有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
嵌入式软件工程师,深圳市佳贤通信设备有限公司,深圳-宝安区  |  2年经验  |  本科  |  招2人,0.8-3万/月,03-09发布
多媒体开发工程师,深圳市华讯方舟光电技术有限公司,异地招聘  |  2年经验  |  本科  |  招若干人,0.5-1.2万/月,03-09发布
软件工程师（工程部）,深圳市杰科电子有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招2人,7-9千/月,03-09发布
PHP软件工程师、PHP程序员、php开发、php开发工程师,深圳市源恒泰科技有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招5人,0.6-1.5万/月,03-09发布
配置管理工程师,深圳市朗仁科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
研发助理工程师,钜亿科技（深圳）有限公司,深圳-龙华区  |  1年经验  |  本科  |  招2人,0.8-1万/月,03-09发布
深圳日语软件工程师,欧浮瑞（武汉）人力资源有限公司,深圳  |  2年经验  |  本科  |  招2人,1.5-2万/月,03-09发布
大数据开发工程师,深圳市爱智慧科技有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招若干人,1-1.5万/月,03-09发布
113127-大数据开发岗,平安科技（深圳）有限公司,深圳-南山区  |  1年经验  |  本科  |  招5人,40-50万/年,03-09发布
Application Engineer,索尼半导体科技（上海）有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,,03-09发布
