职能,公司名称,地址,薪资,发布日期
C++游戏服务器开发,深圳市三格软件科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招1人,1-1.5万/月,03-09发布
PHP开发工程师,深圳市亚势力广告有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
通用软件开发工程师,合肥正佳智能科技有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招若干人,2-2.5万/月,03-09发布
大数据开发工程师,深圳乐视互动网络科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招3人,0.8-2.2万/月,03-08发布
芯片加工MES系统软件开发工程师,深圳安博电子有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,1.2-1.5万/月,03-08发布
PHP开发工程师,深圳数马电子技术有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,1.3-2.5万/月,03-08发布
JAVA开发工程师,上海易宝软件有限公司深圳分公司,深圳-龙岗区  |  2年经验  |  本科  |  招15人,1.5-2万/月,03-08发布
PHP开发工程师,私募排排网,深圳  |  1年经验  |  本科  |  招若干人,1.2-2万/月,03-08发布
自动化软件开发工程师,深圳市丰禾原电子科技有限公司,深圳-龙华区  |  2年经验  |  大专  |  招2人,1.5-2万/月,03-08发布
ATE软件工程师,深圳市凯迪仕智能科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招1人,0.6-1.2万/月,03-08发布
生信软件研发工程师,深圳市海普洛斯生物科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招6人,1-1.5万/月,03-08发布
嵌入式软件工程师,深圳高通半导体有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-08发布
机器人软件开发工程师（C++方向）,盈合（深圳）机器人与自动化科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招3人,1.3-2.5万/月,03-08发布
PHP开发工程师,深圳市卓易梓网络科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招2人,1.5-2万/月,03-08发布
商显软件工程师,深圳市鼎科实业有限公司,深圳  |  1年经验  |  大专  |  招2人,0.8-1.5万/月,03-08发布
计算机程序员,深圳市禾久木科技有限公司,异地招聘  |  1年经验  |  本科  |  招20人,500元/天,03-08发布
C++软件工程师,深圳市重投华讯太赫兹科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.8-1.5万/月,03-08发布
SLAM算法工程师,深圳市哈博森科技有限公司,深圳-龙岗区  |  1年经验  |  硕士  |  招2人,2-4万/月,03-08发布
嵌入式软件工程师,北京佰才邦技术股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.5-2.5万/月,03-08发布
软件开发工程师（急）,深圳教体医数据科技有限公司,深圳-宝安区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-08发布
软件工程师,深圳市华威仕电子科技有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招2人,1-1.5万/月,03-08发布
高级嵌入式开发工程师,深圳市微网力合信息技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.2-2.5万/月,03-08发布
Linux工程师,合肥市卓怡恒通信息安全有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-08发布
C++开发工程师,深圳市金翰信息科技有限公司,深圳  |  2年经验  |  本科  |  招2人,2.5-4万/月,03-08发布
软件工程师,深圳市智子量化科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招1人,0.7-1.2万/月,03-08发布
开发工程师--php,深圳市蛋壳创意科技有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招若干人,0.8-1.5万/月,03-08发布
软件开发工程师（VBA）,富璟科技（深圳）有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,0.6-1.2万/月,03-08发布
JAVA开发工程师,深圳市巨联高科技有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招2人,0.8-2万/月,03-08发布
上位机软件工程师,深圳市众创三维科技有限公司,深圳-龙华区  |  2年经验  |  大专  |  招1人,0.8-1.5万/月,03-08发布
PHP开发工程师,深圳市卓越迈创企业形象设计有限公司,深圳-宝安区  |  2年经验  |  大专  |  招2人,0.7-1万/月,03-08发布
全栈工程师,深圳未知君生物科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1.5-3万/月,03-08发布
大数据平台开发工程师,西人马（深圳）科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,1-3万/月,03-08发布
软件工程师AI010204,鹏城实验室,深圳-南山区  |  1年经验  |  硕士  |  招1人,,03-08发布
自动化应用软件工程师,高怡达科技（深圳）有限公司,深圳  |  1年经验  |  本科  |  招5人,4.5-6千/月,03-08发布
计算机介入与人机交互开发工程师（职位代码ZSJ006）,深圳高性能医疗器械国家研究院有限公司,深圳-龙华区  |  2年经验  |  硕士  |  招若干人,0.9-2.5万/月,03-08发布
嵌入式软件工程师,深圳市荣森盈科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招3人,1.2-2.5万/月,03-08发布
软件工程师,深圳京航科技有限公司,深圳-龙华区  |  1年经验  |  本科  |  招3人,0.8-1.5万/月,03-08发布
ERP开发工程师,深圳市景阳科技股份有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-08发布
ROS导航工程师,深圳市功夫机器人有限公司,深圳-龙华区  |  1年经验  |  本科  |  招若干人,1-3万/月,03-08发布
Java开发工程师,深圳市聚蜂智能科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,1.5-3万/月,03-08发布
对日软件工程师2021年招聘,南京机蜂信息科技有限公司,异地招聘  |  2年经验  |  大专  |  招15人,2-5万/月,03-08发布
软件工程师,珠海奇禄文化传媒有限公司,异地招聘  |  2年经验  |  大专  |  招若干人,1-3.5万/月,03-07发布
后端开发工程师,深圳爱米基因科技有限责任公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-07发布
应用软件工程师,深圳信恳智能电子有限公司,深圳  |  2年经验  |  大专  |  招若干人,1-3万/月,03-07发布
golang后台开发工程师 (MJ002052),深信服科技股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招3人,2-3.5万/月,03-07发布
.NET开发工程师,深圳西文科技发展有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.9-1.5万/月,03-07发布
Java开发工程师,莘菁英（深圳）教育科技集团有限公司,深圳-罗湖区  |  2年经验  |  大专  |  招2人,0.8-1.5万/月,03-06发布
后台开发工程师,深圳迪乐普数码科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-06发布
FPGA工程师（锂电自动化）,深圳市海目星激光智能装备股份有限公司,深圳  |  2年经验  |  本科  |  招2人,1-2.5万/月,03-06发布
高级C/C++开发工程师 (MJ001686),杭州安恒信息技术股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,0.8-1.6万/月,03-06发布
Java开发工程师,大连滋德商务咨询有限公司,异地招聘  |  1年经验  |  大专  |  招10人,1.5-5万/月,03-06发布
物联网大数据开发工程师,广东电子工业研究院有限公司,异地招聘  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,03-06发布
软件工程师,深圳市迅科达智能科技有限公司,异地招聘  |  2年经验  |  本科  |  招若干人,1-1.5万/月,03-05发布
go语言开发,深圳市华云中盛科技股份有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-05发布
爬虫开发工程师,精奥科技（深圳）有限公司,深圳-龙华区  |  2年经验  |  大专  |  招若干人,1-2万/月,03-05发布
嵌入式软件工程师,皇景光电（深圳）有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,1-1.5万/月,03-05发布
C++,深圳橐龠科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,1.5-3万/月,03-05发布
后端开发工程师,深圳市科图智造技术有限公司,深圳-南山区  |  1年经验  |  大专  |  招1人,1-1.5万/月,03-05发布
SLAM算法工程师/专家,深圳市佳顺智能机器人股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,2-4万/月,03-05发布
软件工程师,力维兴电子（深圳）有限公司,深圳-宝安区  |  1年经验  |  大专  |  招1人,1.2-3万/月,03-05发布
嵌入式软件工程师（应用）,奉加微电子（上海）有限公司,深圳  |  1年经验  |  本科  |  招2人,1-4万/月,03-05发布
软件开发工程师,深圳为准精机仪器设备有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,0.9-1.5万/月,03-05发布
Java开发工程师,深圳市富安达智能科技有限公司,深圳  |  2年经验  |  大专  |  招1人,0.8-1.3万/月,03-05发布
后端工程师（北美）,华扬联众数字技术股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-2万/月,03-05发布
PHP开发工程师,深圳银雁数据科技有限公司,深圳-罗湖区  |  2年经验  |  大专  |  招2人,0.8-1.7万/月,03-05发布
（高级）嵌入式软件工程师,陕西广茂电子科技有限责任公司深圳分公司,深圳-宝安区  |  1年经验  |  本科  |  招2人,20-30万/年,03-05发布
软件工程师,深圳市越疆科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.6-2.5万/月,03-05发布
.NET开发工程师,赞华电子系统（深圳）有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,0.8-1.5万/月,03-05发布
三维工程师,深圳市规划国土房产信息中心（深圳市空间地理信息中心）,深圳  |  1年经验  |  本科  |  招1人,0.8-1.2万/月,03-04发布
软件工程师,珠海千位科技有限公司,异地招聘  |  2年经验  |  本科  |  招3人,1.5-2万/月,03-04发布
后端开发工程师,深圳市安络科技有限公司,深圳  |  1年经验  |  本科  |  招若干人,1-1.5万/月,03-04发布
数据挖掘工程师,深圳市格瑞普电池有限公司,深圳-龙华区  |  2年经验  |  大专  |  招1人,1.5-2万/月,03-04发布
大数据开发工程师,福建顶点软件股份有限公司,深圳-福田区  |  1年经验  |  本科  |  招2人,1-1.8万/月,03-04发布
Junior Embedded SW Engineer 嵌入式软件工程师,深圳尚科宁家科技有限公司,深圳-龙华区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-03发布
软件开发工程师（数据库）,深圳天海宸光科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.2-1.8万/月,03-03发布
大数据开发工程师,深圳市德科信息技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.3-1.7万/月,03-03发布
程序员IT Programmer,伍尔特电子有限公司,深圳-龙岗区  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-03发布
RPA交付工程师,南京英诺森软件科技有限公司,异地招聘  |  2年经验  |  本科  |  招2人,1.1-1.8万/月,03-02发布
大数据开发工程师,深圳市卓越方达科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招5人,1.1-2.5万/月,03-02发布
全栈开发工程师,深圳市九立供应链股份有限公司,深圳-罗湖区  |  1年经验  |  本科  |  招1人,1-1.8万/月,03-02发布
Java开发工程师（深圳总部）,深圳市有为信息技术发展有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,1-2万/月,03-02发布
C++开发工程师,深圳市大摩网络科技有限公司,异地招聘  |  2年经验  |  大专  |  招3人,1-1.5万/月,03-02发布
嵌入式软件开发工程师,深圳市德威胜潜水工程有限公司,深圳-坪山区  |  1年经验  |  本科  |  招1人,0.8-2万/月,03-02发布
C++开发工程师（偏协议）,任子行网络技术股份有限公司,深圳  |  2年经验  |  本科  |  招1人,1.5-2万/月,02-26发布
大数据开发工程师,广州安正软件有限公司,深圳  |  2年经验  |  本科  |  招2人,1-1.8万/月,02-26发布
大数据开发工程师,深圳市赢和信息技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.1-1.5万/月,02-26发布
PHP开发工程师,深圳鹏爱医院投资管理有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,6.5-9千/月,02-26发布
大数据开发工程师,深圳市拓保软件有限公司,深圳  |  2年经验  |  大专  |  招50人,1-2万/月,02-26发布
软件工程师,深圳市林科电气发展有限公司,深圳-宝安区  |  1年经验  |  本科  |  招4人,0.6-2万/月,02-26发布
架构师,深圳市汇通合力科技股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1-1.8万/月,02-25发布
音频算法工程师,桂林智神信息技术股份有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招若干人,2.5-5万/月,02-25发布
大数据开发工程师,深圳市赢时胜信息技术股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招3人,1.2-1.8万/月,02-25发布
服务端开发工程师（ST00127）,深圳市星阅科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1-1.5万/月,02-24发布
高级C++全栈开发工程师,深圳市北科瑞声科技股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,2.5-3万/月,02-24发布
嵌入式软件工程师,深圳市威富视界有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1.2-2.5万/月,02-24发布
.NET开发工程师(高级后端开发）,深圳市海威达科技有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招5人,0.8-2万/月,02-24发布
Linux开发工程师,中国长城科技集团股份有限公司自主安全研发事业部,深圳  |  2年经验  |  硕士  |  招3人,1.2-2.2万/月,02-24发布
数据开发工程师,兴业数字金融服务（上海）股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,,02-24发布
golang开发工程师,深圳市逆熵科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招2人,1.5-2万/月,02-23发布
控制软件工程师,珠海云航智能技术有限公司,异地招聘  |  2年经验  |  本科  |  招2人,1-1.5万/月,02-23发布
嵌入式软件工程师,所亿科技（深圳）有限公司,深圳-宝安区  |  2年经验  |  中技  |  招2人,0.8-1万/月,02-23发布
Java开发工程师,深圳龙泽教育科技有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招10人,1.5-2万/月,02-23发布
NodeJs,深圳妙创信息技术有限公司,深圳  |  2年经验  |  大专  |  招2人,1.5千以下/月,02-23发布
软件工程师,崧智智能科技（深圳）有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1-2万/月,02-23发布
软件开发工程师（后端服务）,高深智图（广州）科技有限公司,异地招聘  |  2年经验  |  本科  |  招若干人,2-4万/月,02-23发布
生物信息分析高级工程师(J16305),深圳华大基因股份有限公司,深圳-盐田区  |  2年经验  |  硕士  |  招1人,1-1.5万/月,02-22发布
高级嵌入式软件工程师,深圳市光与生物科技有限公司,深圳-光明新区  |  2年经验  |  本科  |  招5人,0.9-2万/月,02-22发布
Java开发工程师,深圳市长亮科技股份有限公司,异地招聘  |  1年经验  |  大专  |  招20人,1-1.5万/月,02-22发布
Golang后端工程师,深圳市途林科技有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招6人,1.5-3万/月,02-22发布
树莓派工程师,深圳市费诺创新科技有限公司,深圳-龙华区  |  1年经验  |  大专  |  招1人,0.8-1.5万/月,02-20发布
BSW软件工程师,Bassetti China,深圳-坪山区  |  2年经验  |  本科  |  招若干人,1-2万/月,02-19发布
软件工程师,深圳市深大唯同科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-2万/月,02-19发布
后台开发工程师,深圳市拓普明途企业管理咨询有限公司,深圳-南山区  |  2年经验  |  本科  |  招12人,2.5-5万/月,02-18发布
后台开发工程师,深圳小秦云信息技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招12人,2.5-5万/月,02-18发布
爬虫开发工程师,深圳市阿卡索资讯股份有限公司,深圳-罗湖区  |  2年经验  |  本科  |  招1人,1-1.5万/月,02-18发布
应用软件工程师,北京的卢深视科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,1.3-2.5万/月,02-18发布
C# / WPF软件工程师,深圳市佳博兆丰科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招若干人,0.6-1.2万/月,02-18发布
DevOps工程师,中国中金财富证券有限公司,深圳  |  1年经验  |  本科  |  招3人,1.3-2万/月,02-17发布
迅雷后台开发工程师,广州赛泽科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招若干人,1-1.8万/月,02-17发布
Odoo高级开发工程师,深圳市快美妆科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1-1.5万/月,02-07发布
大数据开发工程师,上海携银信息科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招3人,1.2-1.8万/月,02-03发布
PHP Developer/ PHP开发人员,利优科技资讯服务（深圳）有限公司,异地招聘  |  1年经验  |  大专  |  招3人,1.5-2.5万/月,01-26发布
后台开发工程师,深圳三二数字内容有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,8-9千/月,01-26发布
软件工程师,深圳依可医疗科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,1.5-2万/月,01-24发布
存储工程师,深圳市讯方软件技术有限责任公司,异地招聘  |  2年经验  |  大专  |  招10人,1.3-2.5万/月,01-20发布
嵌入式开发工程师（产线驱动）,深圳如一探索科技有限公司,深圳-宝安区  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,01-20发布
编译器工程师,珠海市芯动力科技有限公司,深圳-南山区  |  2年经验  |  硕士  |  招2人,2-3万/月,01-16发布
AI软件工程师,购乐贸易（深圳）有限公司,深圳-罗湖区  |  1年经验  |  本科  |  招2人,1-1.5万/月,01-13发布
软件测试工程师 (Python),深圳快造科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.8-1.5万/月,03-09发布
Python跨境电商数据分析员,深圳市瑞拓步科技有限公司,异地招聘  |  2年经验  |  大专  |  招2人,6-8千/月,03-09发布
Python课程设计师,深圳点猫科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1.2-1.6万/月,03-09发布
少儿编程Python讲师,深圳盛思教育咨询有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,0.8-1万/月,03-09发布
python讲师,风变科技（深圳）有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,1-1.5万/月,03-08发布
算法工程师（Python）,深圳市数码人技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-02发布
Python编程***老师,深圳国际预科学院,深圳-宝安区  |  1年经验  |  本科  |  招1人,800元/天,02-26发布
数据分析师（python）,上海华腾软件系统有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1-1.5万/月,01-20发布
RPA流程自动化开发工程师,敦豪物流（北京）有限公司上海分公司,深圳  |  2年经验  |  本科  |  招9人,1-1.5万/月,03-09发布
作业支持专员（数据分析与项目管理）,中外运-敦豪(DHL-Sinotrans),深圳-福田区  |  2年经验  |  本科  |  招1人,8-9千/月,03-09发布
亚马逊数据分析员,深圳市狮狼科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1万/月,03-09发布
乐高、编程教师,深圳市文珺教育科技咨询有限公司,深圳-福田区  |  1年经验  |  本科  |  招10人,0.5-1万/月,03-09发布
软件测试工程师,深圳市微创云启科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招2人,0.6-1.2万/月,03-09发布
数据研发工程师,深圳市世联土地房地产评估有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
web开发适配工程师,深圳优博视科技有限公司,深圳-罗湖区  |  1年经验  |  大专  |  招若干人,0.8-1.5万/月,03-09发布
相机标定工程师（TOF）,深圳市光微科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,1-1.8万/月,03-09发布
Web前端测试开发助理,深圳市缔盟软件有限公司,深圳  |  1年经验  |  大专  |  招3人,6-9千/月,03-09发布
四点半课程老师,深圳市联特微电脑信息技术开发有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招6人,6-8千/月,03-09发布
数据分析师,深圳市纽泰睿科技发展有限公司,深圳  |  2年经验  |  本科  |  招1人,1-1.5万/月,03-09发布
股权激励咨询顾问（深圳）,上海信公企业管理咨询有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1-1.8万/月,03-09发布
图像增强算法工程师,深圳市格灵人工智能与机器人研究院,深圳-南山区  |  2年经验  |  硕士  |  招2人,1.8-3.5万/月,03-09发布
技术支持工程师,上海科络达云软件技术有限公司,深圳-南山区  |  1年经验  |  大专  |  招2人,0.8-1.2万/月,03-09发布
成本会计,深圳市誉辰自动化设备有限公司,深圳-宝安区  |  2年经验  |  大专  |  招2人,1-1.2万/月,03-09发布
高级运维工程师,深圳航天信息有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,0.7-1.3万/月,03-09发布
高级量化工程师,深圳明时投资管理有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.8-1万/月,03-09发布
前端开发工程师,深圳怀新企业投资顾问股份有限公司,深圳  |  2年经验  |  本科  |  招1人,20-30万/年,03-09发布
新能源功率预测运维工程师,深圳华工能源技术有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招1人,0.6-1万/月,03-09发布
视觉算法工程师,深圳市联深科技发展有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,2.5-3万/月,03-09发布
图像算法工程师,深圳市中电数通智慧安全科技股份有限公司,深圳-南山区  |  1年经验  |  硕士  |  招1人,1-2.5万/月,03-09发布
量化策略研究员,深圳市衮雪量化技术有限公司,深圳-龙华区  |  2年经验  |  硕士  |  招2人,1-3万/月,03-09发布
测试工程师,深圳市睿达科技有限公司,深圳-南山区  |  1年经验  |  大专  |  招2人,0.8-1万/月,03-09发布
售前工程师,深圳海云安网络安全技术有限公司,深圳-福田区  |  1年经验  |  本科  |  招若干人,15-25万/年,03-09发布
深度学习算法工程师,深圳精创视觉科技有限公司,深圳-龙华区  |  2年经验  |  硕士  |  招1人,2-3万/月,03-09发布
前端开发工程师,深圳晶泰科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,1.5-2万/月,03-09发布
测试工程师,深圳市荣昇供应链有限公司,深圳  |  2年经验  |  大专  |  招1人,1-1.5万/月,03-09发布
助理工程师,中科寒武纪科技股份有限公司,深圳-南山区  |  1年经验  |  大专  |  招3人,0.6-1.5万/月,03-09发布
测试（系统操作）工程师,绿银智科科技（深圳）有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,6-9千/月,03-09发布
初级测试工程师（含应届生）,深圳市中航比特通讯技术股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,0.7-1万/月,03-09发布
系统运维工程师,深圳市泰比特科技有限公司,深圳  |  1年经验  |  大专  |  招3人,0.8-1.5万/月,03-09发布
电视生产后台核心系统运维岗,深圳广播电影电视集团,深圳-福田区  |  2年经验  |  大专  |  招若干人,0.8-1万/月,03-09发布
Linux运维工程师,傲讯全通科技（深圳）有限公司,深圳  |  2年经验  |  本科  |  招若干人,1-2万/月,03-09发布
NLP工程师,深圳市驱动人生科技股份有限公司,深圳-南山区  |  2年经验  |  硕士  |  招1人,1.7-3.4万/月,03-09发布
运维工程师,深圳市同步安讯信息技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,15-35万/年,03-09发布
网络运维工程师,深圳秦云网科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,0.4-1万/月,03-09发布
软件测试工程师,深圳市倍泰健康测量分析技术有限公司,异地招聘  |  2年经验  |  大专  |  招2人,7-8.5千/月,03-09发布
香港前端开发工程师,深圳樱吉尔企业咨询管理有限公司,深圳  |  2年经验  |  本科  |  招3人,1.5-2万/月,03-09发布
飞控算法工程师,华强方特文化科技集团股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招2人,1.5-2.5万/月,03-09发布
高级手游服务器端开发工程师（超大IP项目）,网易集团,异地招聘  |  2年经验  |  本科  |  招若干人,2-4万/月,03-09发布
Associate - Data Analysis - Risk Assurance - GZ/SZ,PwC 普华永道,深圳  |  1年经验  |  本科  |  招若干人,,03-09发布
数据分析师,富士康科技集团CMBU,深圳-龙华区  |  1年经验  |  本科  |  招2人,6.5-9千/月,03-08发布
Statistician/ Data Scientist 高级工业统计分析,戈尔科技（深圳）有限公司,深圳  |  1年经验  |  硕士  |  招1人,,03-08发布
数据库工程师,富士康科技集团CNSBG事业群,深圳-龙华区  |  2年经验  |  本科  |  招3人,1-2万/月,03-08发布
总行个人信贷部_数据分析岗,珠海华润银行股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招1人,,03-08发布
测试工程师,腾讯RDM,深圳-南山区  |  1年经验  |  本科  |  招若干人,1.2-1.8万/月,03-07发布
FW Testing Engineer,伟创力研发（深圳）有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.8-1万/月,03-01发布
数据分析专员（备件计划）,华为技术有限公司,深圳-龙岗区  |  1年经验  |  本科  |  招1人,0.8-1万/月,02-27发布
销售数据分析,跨越速运集团有限公司,深圳-宝安区  |  2年经验  |  大专  |  招3人,6-8千/月,02-23发布
WEB開發工程師,富士康科技集团工管资讯,深圳-龙华区  |  1年经验  |  本科  |  招5人,4-6千/月,02-23发布
Consultant / Senior Consultant - Data Science CoE - Consulting - Beijing / Shanghai / Shenzhen,德勤中国,深圳  |  1年经验  |  硕士  |  招若干人,,02-20发布
海外数据分析专员,美的集团冰箱事业部,深圳-南山区  |  2年经验  |  本科  |  招1人,12-25万/年,02-19发布
高级算法开发工程师,比亚迪股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,1.5-3万/月,03-09发布
Product Engr. / 产品工程师,深圳新飞通光电子技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-2万/月,03-09发布
系统/运维工程师,比亚迪精密制造有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招3人,1-1.5万/月,03-05发布
后台开发工程师,广州四三九九信息科技有限公司,异地招聘  |  1年经验  |  大专  |  招若干人,1.1-2万/月,03-02发布
前端开发工程师(002243),康佳集团股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,12-18万/年,03-01发布
总线网络工程师,比亚迪汽车工业有限公司,深圳  |  2年经验  |  本科  |  招1人,1-2万/月,02-19发布
系统测试工程师,TCL科技集团股份有限公司,异地招聘  |  2年经验  |  本科  |  招若干人,0.6-1万/月,02-01发布
算法专家,TCL电子,深圳-南山区  |  2年经验  |  招若干人,3-5万/月,01-19发布
BK335W-信贷政策管理岗,平安银行汽车金融中心,深圳-福田区  |  2年经验  |  本科  |  招2人,1-1.5万/月,03-09发布
BK41JY-模型开发岗,平安银行股份有限公司,深圳-罗湖区  |  2年经验  |  本科  |  招1人,20-30万/年,03-09发布
